"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5"
"OtherGene11",1.00076260159155e-05,1.00628641875254,0.987510757054232,0.553537746181179,0.296965849563182
"OtherGene12",2.58648790362956e-05,0.97415997282913,1.19146319671154,0.783704615747582,0.446091123875538
"OtherGene13",1.31258678812632e-05,0.866292372457772,0.878974947262744,0.569376293449209,0.328307025051373
"OtherGene14",1.3232183294357e-05,0.761773700620813,0.796445498352755,0.514909323917738,0.298010202084752
"OtherGene15",9.27031777736152e-06,0.9960124752339,1.13593863258955,0.725993671174328,0.411153145462039
"OtherGene16",1.24446901215277e-05,1.20336221729268,1.1701528927291,0.719418245579883,0.404507987244705
"OtherGene17",1.60368116116481e-05,0.923297652226667,1.11595155532658,0.703260307574607,0.392892291604781
"OtherGene18",1.09019285030004e-05,0.930579133215405,1.09281752356443,0.695961700426004,0.394850485782955
"OtherGene19",1.5159587697931e-05,1.39454205171819,1.29922337829009,0.784610777629654,0.437089931509636
"OtherGene20",7.52109711974824e-06,0.996047869748699,0.837856163861054,0.51156062416237,0.292053940264147
"OtherGene21",1.41407267883673e-05,0.777676549577704,0.937716177899493,0.633470334452425,0.366085782936824
"OtherGene22",1.75522949452876e-05,0.805000765587552,0.972319264860551,0.609961155463535,0.344520207748519
"OtherGene23",2.29534547489378e-06,0.797433342302522,0.810316640571313,0.541676180951838,0.315752138859841
"OtherGene24",1.15242224979278e-05,0.973990106350245,1.19454031192014,0.806225532643569,0.466863710562965
"OtherGene25",8.08085617410865e-06,1.03330466724384,1.21550514548645,0.749137781901849,0.416377546234145
"OtherGene26",1.28834288805708e-05,0.849672230220785,1.13808487264709,0.717419249829919,0.39893763650002
"OtherGene27",4.52542384792375e-06,0.856266593715885,0.947082464422743,0.553165149775391,0.300151852726547
"OtherGene28",1.71616247271602e-05,1.03624496611255,1.19082952782389,0.728068822014677,0.402613881498295
"OtherGene29",5.81885253670704e-06,0.97888646049828,1.04310607790356,0.642183262540386,0.357810915658621
"OtherGene30",1.13615199682447e-05,0.905355177930918,0.91108437724025,0.579661285163184,0.331117648959255
"OtherGene31",9.36440670054312e-06,0.92820904144552,0.839290618549078,0.489159634656378,0.269968345153904
"OtherGene32",1.46675309123745e-05,1.15056938089162,1.18827036413886,0.705696765648009,0.387576730117878
"OtherGene33",1.06835156369486e-05,1.0019071268321,1.04577159102644,0.654070462046969,0.370770833025977
"OtherGene34",3.24649530548128e-05,1.13520115569812,0.996043163856982,0.5879025730439,0.327249677937804
"OtherGene35",1.2608452940798e-05,1.06738018617911,1.10399572243436,0.657809104320575,0.359190675074614
"OtherGene36",1.0476955372593e-05,0.992201239433732,0.969150843409737,0.545708459607336,0.294882381443143
"OtherGene37",1.93873021147879e-05,1.06236223162663,1.13474170141981,0.711695173488842,0.397764391215837
"OtherGene38",1.13821369170577e-05,0.839354226321869,1.14626823154481,0.740952089190997,0.417022984559609
"OtherGene39",1.51070405568665e-05,0.949738041559619,1.10805839781981,0.68151700448678,0.374531174745621
"OtherGene40",1.89172655080556e-05,0.878698317180596,0.959743099990277,0.586655105514943,0.328202386488834
"OtherGene41",1.93479936316261e-05,0.750330661943643,1.00682374838801,0.668217943051126,0.381790658388885
"OtherGene42",6.10445467009202e-06,1.03028123763524,1.20740516351478,0.768686284984948,0.433380224480468
"OtherGene43",9.27910627709374e-06,0.940119918654803,1.02061128673475,0.640003799648258,0.359188266331037
"OtherGene44",1.37939740324726e-05,0.91521295357042,1.11782390849488,0.701296869941081,0.389850944958375
"OtherGene45",1.13364299747324e-05,1.04263157827861,0.835311922288985,0.487265629295208,0.276739272523768
"OtherGene46",1.9010221001695e-05,1.15341040949196,1.12318423316474,0.655530231301008,0.360344849502165
"OtherGene47",1.84867297930468e-05,0.95702672031907,0.998254231361411,0.648967552333528,0.373795159401076
"OtherGene48",1.70646040223061e-05,0.948604896878037,1.10194715958735,0.688924430413764,0.385232308846173
"OtherGene49",1.38195354073106e-05,0.807329299750424,0.964204577978338,0.629296442819291,0.35897463210613
"OtherGene50",1.93517441702751e-05,0.962059634034558,0.931277269078358,0.596632474702148,0.338696833717003
"OtherGene51",4.48078324203906e-06,0.770553000635291,0.77413418187506,0.479463199665375,0.266991985945764
"OtherGene52",8.48430435866108e-06,1.18532072372807,1.17751560408387,0.710237706155188,0.393389704367059
"OtherGene53",7.69965246417023e-06,0.918454348034589,1.08679764790751,0.658172103917217,0.360849722066696
"OtherGene54",1.84156145403574e-05,0.896009776969126,0.922706946313049,0.623668584079732,0.362845150049522
"OtherGene55",1.55880915640737e-05,0.831761144142261,0.878598492363441,0.530120586248481,0.291158908303702
"OtherGene56",1.69599239655247e-05,0.86280246904186,0.908293328710491,0.574707843684111,0.323494429860483
"OtherGene57",1.09850036125011e-05,1.00272055278505,1.11832312446118,0.690582612962102,0.385194812774233
"OtherGene58",2.45609543190322e-06,0.869341691625793,0.979934450764988,0.617515541963394,0.350366812443131
"OtherGene59",1.77738869095823e-05,0.97724692512464,1.10702311061984,0.762550161618729,0.447470531087963
"OtherGene60",1.58856986512525e-05,0.938013174866613,0.987206070334601,0.629973555762834,0.359924455111055
"OtherGene61",1.48506624783623e-05,1.06119655036489,1.22815768347087,0.733017453618363,0.397010090816394
"OtherGene62",1.11717878695457e-05,0.859516715975996,1.12179515154724,0.710341493034756,0.396540604904718
"OtherGene63",1.0926573686307e-05,0.783524066782399,0.848714714043903,0.56731936992543,0.331177035250526
"OtherGene64",1.07338170950984e-05,0.713456553090516,0.970645514209985,0.646464784053708,0.365886362118277
"OtherGene65",1.19870341413562e-05,0.954164655777309,0.974525507838316,0.650855814619659,0.378794756862156
"OtherGene66",1.23322149200392e-05,0.814414997238564,0.939108059978962,0.608794520979035,0.347458754211687
"OtherGene67",1.72837130742146e-05,1.24978486182788,1.38686336588598,0.815194478749553,0.444497521471932
"OtherGene68",1.16180414181244e-05,0.916347616140732,1.14766388736875,0.76029186725468,0.43479453084273
"OtherGene69",1.10309556654101e-05,0.771171870870852,0.896847890789519,0.591045359621465,0.338879511004064
"OtherGene70",1.72872063692239e-05,0.857294890029607,1.02333883931295,0.690965093673512,0.401630687557417
"OtherGene71",2.13214232758745e-05,0.89407088727617,1.10269549575702,0.721500451398147,0.411372529325674
"OtherGene72",2.69663941332995e-05,0.964108040105626,1.1116004910118,0.680130824449151,0.374014328692499
"OtherGene73",1.07988739823836e-05,1.0769685372723,1.16116474929468,0.701402609236019,0.384634238351926
"OtherGene74",1.66165986355439e-05,1.00399676136428,0.86987573838366,0.539639936247754,0.310395874300926
"OtherGene75",9.37057961227445e-06,0.839859783737379,1.1333049049254,0.722834703176884,0.405363724224547
"OtherGene76",5.27808541520353e-06,0.996123138892973,0.990382402522913,0.596267362239706,0.333479128204742
"OtherGene77",1.42011511167918e-05,0.970273614850527,1.04506615277691,0.674356720090582,0.384599575767097
"OtherGene78",1.93820288418639e-05,0.865136166612533,1.03420623206142,0.709070512758911,0.413088017828207
"OtherGene79",1.55574784893399e-05,0.921973831628395,0.86553368624356,0.526668805087697,0.296495224305864
"OtherGene80",1.47573682073749e-05,1.21340459109184,1.17921696281187,0.699182814971728,0.387454475957376
