"","p_value"
"2310030g06rik",1
"2310033p09rik",1
"2310035c23rik",1
"2310036o22rik",1
"2310039h08rik",1
"2310040g24rik",1
"2310057m21rik",0.968400468933177
"2310061i04rik",0.914556615017878
"2410002f23rik",0.81100594530321
"2410004b18rik",1
"2410015m20rik",1
"2410016o06rik",1
"2410131k14rik",0.848067374250115
"2510002d24rik",1
"2510009e07rik",0.965637833864249
"2510039o18rik",0.851505617977528
"2510046g10rik",0.851505617977528
"2610001j05rik",1
"2610002m06rik",1
"2610008e11rik",0.769025830258303
"2610021a01rik",1
"2610044o15rik8",0.977939299955693
"2610301b20rik",0.996369315935152
"2610507b11rik",1
"2610528j11rik",1
"2700029m09rik",0.817078167115903
"2700060e02rik",1
"2700062c07rik",1
"2700094k13rik",1
"2700097o09rik",1
"2810001g20rik",0.983742274542779
"2810004n23rik",1
"2810006k23rik",0.996369315935152
"2810402e24rik",1
"2810403a07rik",1
"2810414n06rik",0.271627240143369
"2810428i15rik",1
"2810459m11rik",0.917894400928344
"2810474o19rik",1
"2900009j06rik",1
"2900026a02rik",0.973779981965735
"2900076a07rik",0.988960953555281
"2900093k20rik",0.861522340846184
"3010026o09rik",0.769025830258303
"3110002h16rik",1
"3110009e18rik",1
"3110040n11rik",0.994570459081836
"3110043o21rik",0.850251133272892
"3110045c21rik",1
"3110062m04rik",0.914556615017878
"3110082i17rik",0.810152718387294
"3830406c13rik",1
"4430402i18rik",0.798927710843373
"4632415l05rik",1
"4632428c04rik",0.816548827059465
"4732419c18rik",1
"4732465j04rik",0.918328909405655
"4732491k20rik",1
"4833413g10rik",1
"4833420g17rik",0.735118165784832
"4833439l19rik",1
"4921524j17rik",0.903615287428932
"4930402h24rik",0.271627240143369
"4930430f08rik",1
"4930452b06rik",1
"4930453n24rik",0.233901234567901
"4930481a15rik",1
"4930522l14rik",0.57028093645485
"4930523c07rik",0.893741241762053
"4930556m19rik.1",0.968400468933177
"4930579g24rik",0.919022388059701
"4931406c07rik",1
"4931406p16rik",0.909967980295566
"4931414p19rik",1
"4932438a13rik",0.871573152337858
"4933404o12rik",0.825020217729394
"4933431e20rik",0.988960953555281
"4933434e20rik",0.507830927835052
"5031425e22rik",1
"5031439g07rik",0.870491891891892
"5430402o13rik",0.940616671021688
"5430403g16rik",0.805964241676942
"5430416n02rik",1
"5730409e04rik",0.910976262933658
"5730455p16rik",0.829064147190453
"5730508b09rik",1
"5830473c10rik",1
"5930430l01rik",0.995173895742141
"6030458c11rik",0.883134741442098
"6330416g13rik",1
"6330418k02rik",0.976816857206904
"6430548m08rik",1
"6430573f11rik",0.972143671607754
"8430408g22rik",0.983742274542779
"9030616g12rik",1
"9030617o03rik",1
"9030622o22rik",1
"9030624j02rik",0.695641468682505
"9130023h24rik",1
"9130401m01rik",0.903615287428932
"9130409i23rik",0.903615287428932
"9330020h09rik",1
"9430016h08rik",1
"9430038i01rik",1
"9530068e07rik",0.820216996258685
"9930021j03rik",1
"a130010j15rik",0.547176895306859
"a1cf",1
"a230046k03rik",0.532191011235955
"a230050p20rik",0.623736625514403
"a330069e16rik",1
"a430005l14rik",0.954458438287154
"a430033k04rik",0.969433177570094
"a630072m18rik",0.881209302325581
"a830052d11rik",1
"a830080d01rik",0.798927710843373
"aa415398",1
"ai182371",0.979250109505037
"ai314180",0.816168868466399
"ai317395",1
"ai413582",0.900440349175558
"ai464131",0.933704847007853
"ai480526",0.867585909980431
"ai597479",0.896478507164279
"ai661453",0.233901234567901
"ai837181",0.86047068538398
"ai987944",1
"ak010878",1
"au019823",1
"au022252",1
"au040320",1
"au041133",1
"aw112010",0.997936012485369
"aw146154",0.919241748942172
"aw209491",1
"aw549877",0.804702061211743
"aw554918",1
"ay036118",0.848974851394604
"aacs",1
"aadac",0.901900289482149
"aadat",0.735118165784832
"aaed1",0.896478507164279
"aagab",0.997936012485369
"aak1",1
"aamdc",1
"aamp",0.905831729276622
"aar2",0.918328909405655
"aars",0.366359116022099
"aars2",1
"aasdh",0.57028093645485
"aasdhppt",1
"aass",1
"aatf",1
"abat",1
"abca1",1
"abca2",1
"abca3",0.917894400928344
"abca5",1
"abca6",0.883134741442098
"abca7",0.988418196994992
"abca8a",0.993121635296499
"abca8b",0.86047068538398
"abcb10",1
"abcb11",0.271627240143369
"abcb4",0.9523248295024
"abcb6",0.779727075812274
"abcb7",0.105843575418994
"abcb8",0.882987889908257
"abcc10",1
"abcc2",0.303621794871795
"abcc3",0.769025830258303
"abcc6",0.914556615017878
"abcd1",0.965637833864249
"abcd2",1
"abcd3",0.816168868466399
"abcd4",0.86047068538398
"abce1",1
"abcf1",0.900440349175558
"abcf2",0.532191011235955
"abcf3",0.829064147190453
"abcg2",0.627350993377483
"abcg5",0.995173895742141
"abcg8",1
"abhd10",0.81100594530321
"abhd11",1
"abhd12",0.979099823321555
"abhd13",0.919241748942172
"abhd14a",1
"abhd14b",1
"abhd15",0.914556615017878
"abhd16a",1
"abhd17a",0.9523248295024
"abhd17b",0.861181818181818
"abhd17c",0.810152718387294
"abhd18",0.977939299955693
"abhd2",1
"abhd3",1
"abhd4",0.84403981042654
"abhd5",1
"abhd6",0.861522340846184
"abhd8",0.917894400928344
"abi1",0.991896915584416
"abl1",1
"abl2",0.827084263959391
"ablim1",0.816548827059465
"ablim3",1
"abracl",1
"abt1",1
"abtb1",0.966955401860243
"abtb2",1
"acaa1a",1
"acaa1b",0.303621794871795
"acaa2",0.916561651917404
"acaca",0.961536338999754
"acacb",0.532191011235955
"acad10",0.733393548387097
"acad11",0.908610767326733
"acad12",0.602827272727273
"acad8",0.991896915584416
"acad9",1
"acadl",0.964066371681416
"acadm",1
"acads",0.981022653721683
"acadsb",0.983742274542779
"acadvl",0.105843575418994
"acap2",1
"acat1",1
"acat2",0.995173895742141
"acat3",0.948767165720186
"acbd3",0.798927710843373
"acbd4",1
"acbd5",1
"acbd6",1
"acd",0.916561651917404
"acer3",0.988960953555281
"acin1",1
"acly",1
"acmsd",1
"acnat1",0.67586421173763
"acnat2",1
"aco1",0.910976262933658
"aco2",0.722281524926686
"acot1",0.390639175257732
"acot11",1
"acot12",0.648342205323194
"acot13",1
"acot2",1
"acot4",0.919241748942172
"acot7",0.801883765003159
"acot8",1
"acox1",0.105843575418994
"acox2",0.303621794871795
"acox3",1
"acp1",1
"acp2",0.857100387763895
"acp5",1
"acp6",1
"acrbp",0.804702061211743
"acsf2",1
"acsf3",1
"acsl1",0
"acsl3",0.960721849366145
"acsl4",0.837593464680442
"acsl5",1
"acsm1",0.105843575418994
"acsm2",0.936973145440043
"acsm3",0.769025830258303
"acsm5",0.912785305630834
"acss2",0.532191011235955
"actb",1
"actg1",0.870491891891892
"actl6a",1
"actn1",1
"actn4",1
"actr10",1
"actr1a",1
"actr1b",0.67586421173763
"actr2",0.547176895306859
"actr3",1
"actr5",1
"actr6",0.971701471941122
"actr8",1
"acvr1",1
"acvr1b",0.86047068538398
"acvr2a",0.853274158285964
"acy1",1
"acy3",1
"acyp1",1
"acyp2",1
"adal",1
"adam10",0.990818293683347
"adam11",1
"adam17",0.903615287428932
"adam32",0.988960953555281
"adam9",0.93402963362069
"adamts7",1
"adap2",1
"adap2os",1
"adar",1
"adarb1",0.464155902004454
"adat1",1
"adck1",0.464155902004454
"adck2",1
"adck3",0.271627240143369
"adck4",0.861522340846184
"adck5",0.988418196994992
"adcy6",0.905831729276622
"adcy9",0.961130908191042
"add1",0.889766242937853
"add3",0.993121635296499
"adgra3",0.84224569789675
"adgrl2",1
"adgrv1",1
"adh1",0.918328909405655
"adh4",1
"adh5",1
"adh7",1
"adhfe1",1
"adi1",0.972143671607754
"adipor1",1
"adipor2",0.105843575418994
"adk",1
"adnp2",0.914556615017878
"ado",1
"adora1",1
"adpgk",0.924451344607707
"adprh",0.979250109505037
"adprhl2",0.896478507164279
"adprm",0.972143671607754
"adra1b",1
"adrbk1",0.870491891891892
"adrbk2",1
"adrm1",0.933704847007853
"adsl",1
"adss",1
"adssl1",0.979250109505037
"adtrp",0.859734453781513
"aebp2",0.303621794871795
"aen",0.970232774674115
"aes",1
"aff1",1
"aff4",1
"afg3l1",0.993963155786944
"afg3l2",0.899826400262037
"afm",0.233901234567901
"afmid",0.881209302325581
"aftph",0
"aga",1
"agap1",0.920949143017701
"agap3",0.801561538461539
"agbl3",1
"agfg1",0.896478507164279
"agfg2",1
"aggf1",1
"agk",1
"agl",0.914556615017878
"agmat",1
"agmo",0.905831729276622
"ago1",0.784345467523198
"ago2",0.752198511166253
"ago3",0.947791083462934
"ago4",1
"agpat2",0.728692307692308
"agpat3",0.96672705078125
"agpat5",0.896478507164279
"agps",1
"agrn",0.988418196994992
"agt",0.233901234567901
"agtpbp1",1
"agtr1a",1
"agxt",1
"agxt2",0.105843575418994
"ahctf1",1
"ahcy",1
"ahcyl1",0.857100387763895
"ahcyl2",0.905831729276622
"ahdc1",1
"ahnak",0.390639175257732
"ahr",1
"ahsa1",1
"ahsa2",1
"ahsg",0.824603041426324
"aida",0.848974851394604
"aifm1",0.988418196994992
"aifm2",1
"aifm3",1
"aig1",1
"aim1",1
"aimp1",0.968400468933177
"aimp2",1
"aip",1
"ajuba",0.893367097450227
"ak2",1
"ak3",1
"ak4",0.798927710843373
"ak6",0.971701471941122
"akap1",0.366359116022099
"akap10",1
"akap11",1
"akap13",1
"akap17b",0.966955401860243
"akap7",1
"akap8",0.893367097450227
"akap8l",0.84224569789675
"akap9",1
"akip1",1
"akirin1",1
"akirin2",0.797588681849551
"akr1a1",1
"akr1b3",0.983524460585345
"akr1c12",0.988418196994992
"akr1c13",1
"akr1c14",0
"akr1c19",1
"akr1c20",0.966955401860243
"akr1c6",0.507830927835052
"akr1d1",0.934351112302332
"akr1e1",1
"akr7a5",0.801883765003159
"akt1",0.769025830258303
"akt1s1",0.858971770744226
"akt2",1
"aktip",0.903615287428932
"alad",0.928623767798467
"alas1",0.977939299955693
"alas2",0.722281524926686
"alb",0
"alcam",1
"aldh16a1",0
"aldh1a1",0
"aldh1a7",0.995173895742141
"aldh1b1",1
"aldh1l1",0
"aldh2",0
"aldh3a2",0
"aldh4a1",0.813085243974133
"aldh5a1",0.997936012485369
"aldh6a1",0.81100594530321
"aldh7a1",0.896006854009596
"aldh8a1",0.945084957131723
"aldh9a1",1
"aldoa",1
"aldob",1
"aldoc",1
"alg1",0.733393548387097
"alg11",0.858992372881356
"alg12",1
"alg13",1
"alg14",0.827084263959391
"alg2",0.770498184458969
"alg3",0.983742274542779
"alg5",0.366359116022099
"alg6",0.887463449254791
"alg8",0.820216996258685
"alg9",1
"alkbh1",0.722281524926686
"alkbh2",0.885327102803738
"alkbh3",1
"alkbh5",1
"alkbh6",0.770498184458969
"alkbh7",1
"alkbh8",0.656544554455446
"alpl",1
"als2",0.769025830258303
"als2cl",0.972143671607754
"alyref",1
"alyref2",1
"amacr",0.177065420560748
"ambp",0.968400468933177
"ambra1",0.861181818181818
"amd1",1
"amdhd1",0.918328909405655
"amdhd2",1
"amer1",1
"amfr",0
"ammecr1",1
"ammecr1l",0.413868932038835
"amn1",0.848974851394604
"amot",1
"amotl2",1
"ampd2",0.84421669793621
"amt",0.940616671021688
"amy1",0.233901234567901
"amz2",0.900440349175558
"anapc1",0.949237218813906
"anapc10",1
"anapc11",1
"anapc13",1
"anapc15",0.928623767798467
"anapc16",0.997936012485369
"anapc2",0.950660922453117
"anapc4",1
"anapc5",1
"anapc7",0.925342715231788
"ang",0.84421669793621
"angel2",1
"angptl3",1
"angptl4",0.965637833864249
"angptl8",0.977939299955693
"ank",0.798927710843373
"ank3",1
"ankfy1",0.716366169154229
"ankhd1",0.86047068538398
"ankib1",0.981022653721683
"ankle2",0.559170138888889
"ankmy2",0.919241748942172
"ankra2",1
"ankrd10",0.805964241676942
"ankrd11",1
"ankrd12",1
"ankrd13a",1
"ankrd13c",0.991896915584416
"ankrd16",0.769025830258303
"ankrd17",0.715308163265306
"ankrd24",1
"ankrd26",0.914556615017878
"ankrd27",0.741715744680851
"ankrd28",1
"ankrd33b",0.303621794871795
"ankrd39",1
"ankrd40",0.754146222583266
"ankrd46",1
"ankrd49",0.954458438287154
"ankrd50",0.903615287428932
"ankrd54",1
"ankrd9",0.896478507164279
"anks1",0.973779981965735
"anks3",1
"anks4b",0.844389972144847
"ankzf1",0.770498184458969
"ano10",0.925342715231788
"ano6",1
"anp32a",1
"anp32b",0.939594332196274
"anp32e",0.837593464680442
"anpep",0.903615287428932
"antxr2",0.908610767326733
"anxa11",0.768081081081081
"anxa2",0.899826400262037
"anxa4",0.958633599202393
"anxa5",0.105843575418994
"anxa6",0.825020217729394
"anxa7",0.896478507164279
"aox1",1
"aox3",1
"ap1ar",1
"ap1b1",1
"ap1g1",0.9523248295024
"ap1m1",0.896478507164279
"ap1s1",0.722281524926686
"ap1s3",1
"ap2a1",1
"ap2a2",0.623736625514403
"ap2b1",1
"ap2m1",0.968400468933177
"ap2s1",1
"ap3b1",1
"ap3d1",0.798927710843373
"ap3m1",0.816168868466399
"ap3s1",0.981022653721683
"ap3s2",1
"ap4b1",1
"ap4e1",1
"ap4m1",0.669469964664311
"ap4s1",0.851505617977528
"ap5m1",0.861181818181818
"ap5s1",0.871414334994251
"ap5z1",0.816548827059465
"apba3",0.810152718387294
"apbb2",0.67586421173763
"apc",1
"apcs",0.983742274542779
"apeh",0.798927710843373
"apex1",0.754146222583266
"apex2",0.816548827059465
"aph1a",1
"aph1b",1
"api5",1
"apip",1
"aplf",0.735118165784832
"aplp2",0.889766242937853
"apmap",1
"apoa1",1
"apoa1bp",1
"apoa2",1
"apoa4",1
"apoa5",1
"apob",0
"apobec1",1
"apoc1",1
"apoc2",0.716366169154229
"apoc3",1
"apoc4",1
"apoe",0.861522340846184
"apof",1
"apoh",0.507830927835052
"apol7a",0.84224569789675
"apol9a",0.997936012485369
"apol9b",1
"apom",1
"apon",0.966955401860243
"apoo",1
"apool",0.769025830258303
"apopt1",1
"app",1
"appbp2",0.817078167115903
"appbp2os",1
"appl1",1
"appl2",1
"aprt",1
"aptx",1
"aqp11",1
"aqp4",1
"aqp8",1
"aqp9",0.105843575418994
"aqr",0.86047068538398
"araf",0.896478507164279
"arap1",0.997936012485369
"arap2",0.990818293683347
"arcn1",1
"arel1",1
"arf1",1
"arf2",0.464155902004454
"arf3",0.961536338999754
"arf4",0.817078167115903
"arf5",1
"arf6",0.507830927835052
"arfgap1",0.821561078794289
"arfgap2",0.648342205323194
"arfgap3",0.81100594530321
"arfgef1",0.797588681849551
"arfgef2",0.703191940615058
"arfip1",0.919241748942172
"arfip2",0.960721849366145
"arfrp1",0.968400468933177
"arg1",1
"arglu1",0.960721849366145
"arhgap1",1
"arhgap12",0.905831729276622
"arhgap17",0.917894400928344
"arhgap18",0.917894400928344
"arhgap21",0.627350993377483
"arhgap23",0.916561651917404
"arhgap24",0.898599668325041
"arhgap26",0.919241748942172
"arhgap29",1
"arhgap32",0.825020217729394
"arhgap35",1
"arhgap39",1
"arhgap42",0.848067374250115
"arhgap5",1
"arhgap6",1
"arhgdia",0.936973145440043
"arhgef1",0.949237218813906
"arhgef10l",1
"arhgef12",0.917894400928344
"arhgef18",1
"arhgef19",0.769025830258303
"arhgef26",0.861522340846184
"arhgef3",1
"arhgef40",0.84224569789675
"arhgef5",1
"arhgef7",1
"arid1a",1
"arid1b",0.464155902004454
"arid2",0.896478507164279
"arid4a",0.735118165784832
"arid4b",0.851505617977528
"arid5b",1
"arih1",0.977939299955693
"arih2",1
"arl1",0.896006854009596
"arl13b",1
"arl14ep",0.816548827059465
"arl15",1
"arl16",0.816548827059465
"arl2",1
"arl2bp",0.893741241762053
"arl3",1
"arl4a",1
"arl4d",0.998127138413686
"arl5a",0.177065420560748
"arl5b",1
"arl6",1
"arl6ip1",1
"arl6ip4",0.5759584
"arl6ip5",1
"arl6ip6",0.527324055666004
"arl8a",0.990818293683347
"arl8b",0.919241748942172
"armc1",0.905831729276622
"armc10",0.798927710843373
"armc5",0.413868932038835
"armc6",1
"armc8",0.991896915584416
"armcx3",0.986729554486509
"armt1",1
"arnt",0.934351112302332
"arntl",0.861522340846184
"arpc1a",0.834217221135029
"arpc1b",0.908610767326733
"arpc2",0.867585909980431
"arpc3",1
"arpc4",0.703191940615058
"arpc5",1
"arpc5l",1
"arpin",1
"arpp19",1
"arrb2",0.971701471941122
"arrdc3",0.948767165720186
"arrdc4",0.949237218813906
"arsa",0.998703875968992
"arsb",0.84421669793621
"arsg",1
"arsk",0.769025830258303
"arv1",0.779727075812274
"as3mt",0.983742274542779
"asah1",1
"asah2",0.983742274542779
"asap1",1
"asap2",0.929738276990185
"asap3",0.748916736753574
"asb1",0.656544554455446
"asb13",0.916561651917404
"asb3",0.997936012485369
"asb6",1
"asb7",0.853274158285964
"asb8",0.829064147190453
"ascc1",0.366359116022099
"ascc2",0.752198511166253
"ascc3",0.804702061211743
"asf1a",0.968400468933177
"asgr1",0.912785305630834
"asgr2",1
"ash1l",1
"ash2l",0.995173895742141
"asic5",0.67586421173763
"asl",0.848974851394604
"asna1",0.971701471941122
"asns",0.957012253063266
"asnsd1",1
"aspa",0.84421669793621
"aspdh",1
"aspg",0.532191011235955
"asph",0.993551537070524
"aspscr1",0.805964241676942
"asrgl1",0.801561538461539
"ass1",1
"aste1",1
"asun",0.973779981965735
"asxl1",0.878105302187616
"asxl2",1
"atad1",0.983742274542779
"atad2",0.961130908191042
"atad3a",0.910976262933658
"atat1",0.834217221135029
"ate1",1
"atf1",0.801561538461539
"atf2",1
"atf3",0.824603041426324
"atf4",0.884238060781476
"atf5",0.861522340846184
"atf6",0.57028093645485
"atf6b",1
"atf7",1
"atf7ip",0.971701471941122
"atg10",0.896006854009596
"atg101",0.177065420560748
"atg12",1
"atg13",1
"atg14",1
"atg16l1",0.988418196994992
"atg16l2",0.903615287428932
"atg2a",0.903615287428932
"atg2b",1
"atg3",0.998127138413686
"atg4a",1
"atg4b",1
"atg4c",0.899826400262037
"atg4d",0.896478507164279
"atg5",1
"atg7",0.931095845777899
"atg9a",1
"athl1",1
"atic",0.997936012485369
"atl2",1
"atl3",1
"atm",0.754146222583266
"atmin",1
"atn1.1",1
"atoh8",1
"atox1",1
"atp11a",0.844389972144847
"atp11b",0.784345467523198
"atp11c",0.177065420560748
"atp13a1",0.233901234567901
"atp13a2",0.271627240143369
"atp13a3",0.303621794871795
"atp1a1",0.609374269005848
"atp1b1",1
"atp1b3",0.919241748942172
"atp2a2",0.84421669793621
"atp2b1",0.848067374250115
"atp2b2",1
"atp2c1",0.86047068538398
"atp4a",1
"atp5a1",1
"atp5b",0.997936012485369
"atp5c1",1
"atp5d",1
"atp5e",1
"atp5f1",1
"atp5g1",1
"atp5g2",1
"atp5g3",1
"atp5h",1
"atp5j",1
"atp5j2",1
"atp5k",1
"atp5l",1
"atp5o",1
"atp5s",0.817078167115903
"atp5sl",1
"atp6ap1",0.844389972144847
"atp6ap2",0.988960953555281
"atp6v0a1",0.741715744680851
"atp6v0a2",0.942611617608752
"atp6v0b",1
"atp6v0d1",1
"atp6v0e",1
"atp6v1a",0.919241748942172
"atp6v1b2",1
"atp6v1c1",0.905831729276622
"atp6v1d",0.871414334994251
"atp6v1e1",1
"atp6v1f",1
"atp6v1g1",1
"atp6v1h",0.871573152337858
"atp7b",1
"atp8b1",0.703191940615058
"atp9a",0.997936012485369
"atp9b",0.784345467523198
"atpaf1",0.797588681849551
"atpaf2",1
"atpif1",1
"atr",0.484759061833689
"atraid",1
"atrn",1
"atrnl1",1
"atrx",1
"atxn1",0.970232774674115
"atxn10",0.861181818181818
"atxn1l",1
"atxn2",1
"atxn2l",0.861522340846184
"atxn3",0.797588681849551
"atxn7",0.443700234192037
"atxn7l1",0.977939299955693
"atxn7l3",0.797588681849551
"atxn7l3b",1
"auh",0.784345467523198
"aup1",1
"aurkaip1",1
"aven",0.798927710843373
"avl9",1
"avpi1",1
"avpr1a",0.804702061211743
"axin1",1
"axin2",0.547176895306859
"azgp1",1
"azi2",1
"azin1",0.955859939759036
"b130006d01rik",0.993551537070524
"b230118h07rik",1
"b230219d22rik",1
"b230354k17rik",1
"b2m",1
"b3galnt2",1
"b3galt1",0
"b3galt6",0.835717886572952
"b3gat3",0.859734453781513
"b3gnt8",0.733393548387097
"b430119l08rik",1
"b4galnt1",0.79109271054494
"b4galt1",0.893367097450227
"b4galt3",0.683508455467869
"b4galt5",1
"b4galt7",0.739436253252385
"b4gat1",0.883134741442098
"b630005n14rik",0.997936012485369
"b930036n10rik",0.988418196994992
"b9d2",1
"bc003331",0.939594332196274
"bc003965",0.609374269005848
"bc004004",1
"bc005537",0
"bc005561",0.988452712533777
"bc005624",0.916561651917404
"bc017158",0.871573152337858
"bc017643",0.609374269005848
"bc021614",1
"bc021891",0.464155902004454
"bc023829",0.971701471941122
"bc024139",0.910976262933658
"bc024978",0.972143671607754
"bc025446",1
"bc026585",0.939594332196274
"bc028528",1
"bc029214",0.805964241676942
"bc029722",1
"bc030336",1
"bc031181",1
"bc037034",0.443700234192037
"bc048546",1
"bc051226",1
"bc052040",0.86047068538398
"bc089597",0.971701471941122
"baat",0.741715744680851
"babam1",0.939594332196274
"bace1",1
"bace2",0.5759584
"bach1",0.588385093167702
"bach2",0.919241748942172
"bad",1
"bag1",0.885327102803738
"bag2",0.829064147190453
"bag3",0.918328909405655
"bag4",0.901900289482149
"bag5",0.935417667467307
"bag6",1
"bahcc1",0.844389972144847
"bahd1",1
"baiap2",0.972143671607754
"baiap2l1",1
"bak1",0.84403981042654
"bambi",1
"banf1",1
"banp",0.947791083462934
"bap1",1
"bax",1
"baz1a",0.614609308885755
"baz1b",1
"baz2a",1
"baz2b",0.934351112302332
"bbc3",1
"bbip1",1
"bbox1",1
"bbs10",0.739436253252385
"bbs5",1
"bbx",1
"bcap29",0.917894400928344
"bcap31",1
"bcar1",0.885769450392577
"bcar3",1
"bcas2",1
"bcas3",1
"bcat2",1
"bccip",1
"bcdin3d",0.969433177570094
"bche",0.81100594530321
"bckdha",1
"bckdhb",1
"bckdk",1
"bcl10",1
"bcl2l1",0.87529955290611
"bcl2l11",1
"bcl2l12",0.758446757405925
"bcl2l13",0.903615287428932
"bcl2l2",0.889766242937853
"bcl3",1
"bcl6",0.527324055666004
"bcl7a",1
"bcl7b",1
"bcl7c",0.966955401860243
"bcl9",0.816168868466399
"bcl9l",1
"bclaf1",0.960721849366145
"bco1",1
"bco2",1
"bcor",1
"bcorl1",1
"bcr",1
"bcs1l",0.983742274542779
"bdh1",0.896006854009596
"bdh2",0.816548827059465
"bdnf",0.988960953555281
"bdp1",1
"becn1",1
"bend3",1
"bend7",1
"bet1",1
"bet1l",1
"bfar",0.884238060781476
"bgn",1
"bhlhe40",1
"bhmt",1
"bhmt2",1
"bicd2",0.925342715231788
"bid",0.825427985648385
"bik",0.983742274542779
"bin1",1
"bin3",1
"birc2",0.991896915584416
"birc3",0.966955401860243
"birc6",1
"bivm",0.857100387763895
"blcap",0.950660922453117
"blmh",0.901900289482149
"bloc1s1",1
"bloc1s2",0.837593464680442
"bloc1s3",1
"bloc1s4",0.900440349175558
"bloc1s5",0.730062030075188
"bloc1s6",1
"blvra",1
"blvrb",1
"blzf1",1
"bmi1",0.532191011235955
"bmp1",1
"bmp2k",1
"bmpr1a",0.914556615017878
"bmpr2",0.816548827059465
"bms1",0.972143671607754
"bmyc",1
"bnip1",0.366359116022099
"bnip2",0.820216996258685
"bnip3",1
"bnip3l",1
"bod1",0.893367097450227
"bod1l",1
"bok",1
"bola1",1
"bola2",1
"bola3",1
"bop1",1
"borcs5",1
"borcs6",0.867585909980431
"borcs7",0.964066371681416
"borcs8",1
"bpgm",0.805964241676942
"bphl",1
"bpnt1",1
"bptf",0.84421669793621
"braf",1
"brap",1
"brat1",1
"brca2",0.899826400262037
"brcc3",1
"brd1",0.559170138888889
"brd2",1
"brd3",0.867585909980431
"brd4",0.997936012485369
"brd7",0.336319526627219
"brd8",0.883134741442098
"brd9",1
"bre",0.979175280404662
"brf1",1
"brf2",0.916561651917404
"bri3",1
"bri3bp",0.413868932038835
"brip1os",1
"brix1",0.893741241762053
"brk1",1
"brms1",0.905831729276622
"brms1l",0.559170138888889
"brox",1
"brpf1",1
"brpf3",0.832688395061728
"brwd1",0.939594332196274
"brwd3",0.998127138413686
"bscl2",0.948767165720186
"bsdc1",0.900440349175558
"bsg",1
"bst2",1
"btaf1",0.998127138413686
"btbd1",1
"btbd10",0.885327102803738
"btbd2",0.919241748942172
"btbd3",0.896478507164279
"btbd6",1
"btbd9",0.532191011235955
"btd",1
"btf3",1
"btf3l4",1
"btg1",1
"btg2",0.914556615017878
"btrc",0.871573152337858
"bub3",0.816168868466399
"bud31",1
"bysl",1
"bzw1",0.898599668325041
"bzw2",1
"c130074g19rik",0.858992372881356
"c1d",1
"c1galt1",0.739436253252385
"c1galt1c1",0.928623767798467
"c1qbp",0.950660922453117
"c1ra",0.507830927835052
"c1rl",0.873120269763957
"c1s1",1
"c2",1
"c2cd2",0
"c2cd2l",1
"c2cd3",0.905831729276622
"c2cd5",1
"c3",0
"c330006a16rik",0.798927710843373
"c330007p06rik",0.829064147190453
"c330018d20rik",0.711958246346555
"c330021f23rik",1
"c4b",0
"c4bp",0.336319526627219
"c6",0.703191940615058
"c730036e19rik",1
"c77080",0.733393548387097
"c87436",1
"c8a",0.885769450392577
"c8b",0.801561538461539
"c8g",1
